Regionalschluessel;Name;Breitengrad;Laengengrad
010545492161;Witzwort;54.407533;9.00657
010545492162;Wobbenbüll;54.523352;9.003894
010545494002;Ahrenshöft;54.561896;9.077624
010545494006;Almdorf;54.579392;9.012991
010545494010;Bargum;54.706261;8.96526
010545494012;Bohmstedt;54.581764;9.062435
010545494014;Bordelum;54.649269;8.949808
010545494019;Bredstedt;54.623606;8.967874
010545494020;Breklum;54.607167;8.992189
010545494024;Drelsdorf;54.608471;9.068988
010545494037;Goldebek;54.681599;9.1493
010545494038;Goldelund;54.678671;9.097014
010545494045;Högel;54.649334;9.064963
010545494059;Joldelund;54.648693;9.135522
010545494071;Kolkerheide;54.625903;9.12343
010545494075;Langenhorn;54.685382;8.914508
010545494080;Lütjenholm;54.68186;9.045729
010545494093;Ockholm;54.671662;8.81549
010545494121;Sönnebüll;54.633744;9.00561
010545494128;Struckum;54.579179;8.984584
010545494146;Vollstedt;54.627924;9.042958
010550001001;Ahrensbök;54.001974;10.567463
010550004004;Bad Schwartau;53.926161;10.685826
010550007007;Bosau;54.094133;10.509187
010550010010;Dahme;54.220285;11.07342
010550012012;Eutin;54.14769;10.617686
010550016016;Grömitz;54.177942;10.969493
010550018018;Grube;54.242686;11.042652
010550021021;Heiligenhafen;54.36677;10.970223
010550025025;Kellenhusen (Ostsee);54.196519;11.051843
010550028028;Malente;54.187804;10.573584
010550032032;Neustadt in Holstein;54.103837;10.835049
010550033033;Oldenburg in Holstein;54.298497;10.870015
010550035035;Ratekau;53.96271;10.748206
010550040040;Stockelsdorf;53.929978;10.617938
010550041041;Süsel;54.092291;10.668776
010550042042;Timmendorfer Strand;53.982194;10.780418
010550044044;Scharbeutz;54.025496;10.68807
010550046046;Fehmarn;54.465141;11.148428
010555543014;Göhl;54.277213;10.964995
010555543015;Gremersdorf;54.336054;10.924783
010555543017;Großenbrode;54.368284;11.07043
010555543022;Heringsdorf;54.285685;11.025788
010555543031;Neukirchen;54.324533;11.032615
010555543043;Wangels;54.270381;10.77255
010555546006;Beschendorf;54.191769;10.8796
010555546011;Damlos;54.25052;10.904035
010555546020;Harmsdorf;54.229866;10.822408
010555546023;Kabelhorst;54.222849;10.926561
010555546027;Lensahn;54.221409;10.865036
010555546029;Manhagen;54.189862;10.91755
010555546036;Riepsdorf;54.235273;10.970536
010555591002;Altenkrempe;54.140147;10.78281
010555591024;Kasseedorf;54.165474;10.706272
010555591037;Schashagen;54.140831;10.87645
010555591038;Schönwalde am Bungsberg;54.198;10.766609
010555591039;Sierksdorf;54.082773;10.757656
010560002002;Barmstedt;53.798463;9.773524
010560005005;Bönningstedt;53.671778;9.911079
010560015015;Elmshorn;53.751608;9.664818
010560018018;Halstenbek;53.625076;9.838729
010560021021;Hasloh;53.698206;9.921056
010560025025;Helgoland;54.183685;7.896306
010560039039;Pinneberg;53.647707;9.792313
010560041041;Quickborn;53.73352;9.903506
010560043043;Rellingen;53.647871;9.852354
010560044044;Schenefeld;53.601622;9.826153
010560048048;Tornesch;53.700912;9.734235
010560049049;Uetersen;53.687303;9.668394
010560050050;Wedel;53.59255;9.706258
010565616029;Klein Nordende;53.722752;9.675703
010565616030;Klein Offenseth-Sparrieshoop;53.801997;9.682544
010565616031;Kölln-Reisiek;53.75751;9.709133
010565616033;Seester;53.720152;9.609206
010565616042;Raa-Besenbek;53.747914;9.600374
010565616045;Seestermühe;53.696032;9.548876
010565616046;Seeth-Ekholt;53.736815;9.736241
010565636006;Bokel;53.869361;9.745987
010565636010;Brande-Hörnerkirchen;53.843425;9.711714
010565636038;Osterhorn;53.876256;9.699287
010565636051;Westerhorn;53.868702;9.671777
010565660003;Bevern;53.753139;9.768599
010565660004;Bilsen;53.766811;9.881044
010565660008;Bokholt-Hanredder;53.781307;9.716863
010565660011;Bullenkuhlen;53.767575;9.746124
010565660014;Ellerhoop;53.728719;9.782202
010565660017;Groß Offenseth-Aspern;53.814438;9.726472
010565660022;Heede;53.788379;9.813155
010565660026;Hemdingen;53.759018;9.830815
010565660034;Langeln;53.800502;9.857807
010565660035;Lutzhorn;53.832617;9.78933
010565687009;Borstel-Hohenraden;53.702656;9.822609
010565687013;Ellerbek;53.657948;9.881212
010565687032;Kummerfeld;53.700875;9.789936
010565687040;Prisdorf;53.680529;9.761865
010565687047;Tangstedt;53.685436;9.856398
010565690001;Appen;53.652307;9.737243
010565690016;Groß Nordende;53.700628;9.630587
010565690019;Haselau;53.657933;9.578891
010565690020;Haseldorf;53.636254;9.609611
010565690023;Heidgraben;53.706211;9.676275
010565690024;Heist;53.647287;9.672078
010565690027;Hetlingen;53.611657;9.615859
010565690028;Holm;53.624433;9.694616
010565690036;Moorrege;53.667695;9.656466
010565690037;Neuendeich;53.684447;9.602503
010570001001;Ascheberg (Holstein);54.148766;10.328996
010570008008;Bönebüttel;54.075267;10.065856
010570009009;Bösdorf;54.133213;10.484821
010570057057;Plön;54.144808;10.423645
010570062062;Preetz;54.2305;10.27744
010570091091;Schwentinental;54.285369;10.236293
010575727004;Behrensdorf (Ostsee);54.334993;10.608573
010575727007;Blekendorf;54.280153;10.672043
010575727013;Dannau;54.240105;10.568129
010575727021;Giekau;54.303657;10.505142
010575727026;Helmstorf;54.266754;10.586732
010575727027;Högsdorf;54.241219;10.626791
010575727029;Hohenfelde;54.371313;10.506151
010575727030;Hohwacht (Ostsee);54.309027;10.636438
010575727034;Kirchnüchel;54.214347;10.680759
010575727035;Klamp;54.284763;10.547484
010575727038;Kletkamp;54.243042;10.667252
010575727048;Lütjenburg;54.29812;10.582446
010575727055;Panker;54.34208;10.558933
010575727076;Schwartbuck;54.375422;10.460647
010575727082;Tröndel;54.341002;10.515593
010575739015;Dersau;54.114976;10.320813
010575739017;Dörnick;54.163419;10.356393
010575739022;Grebin;54.210281;10.489539
010575739032;Kalübbe;54.13142;10.282851
010575739045;Lebrade;54.20852;10.431525
010575739053;Nehmten;54.103583;10.381647
010575739065;Rantzau;54.236723;10.516275
010575739067;Rathjensdorf;54.183244;10.410527
010575739089;Wittmoldt;54.178352;10.362396
010575747002;Barmissen;54.204026;10.171816
010575747010;Boksee;54.244369;10.126922
010575747011;Bothkamp;54.17341;10.138889
010575747023;Großbarkau;54.223369;10.168405
010575747031;Honigsee;54.238276;10.178
010575747033;Kirchbarkau;54.208224;10.146142
010575747037;Klein Barkau;54.22465;10.139166
010575747042;Kühren;54.190156;10.263504
010575747046;Lehmkuhlen;54.232832;10.358516
010575747047;Löptin;54.18245;10.223783
010575747054;Nettelsee;54.171811;10.182997
010575747058;Pohnsdorf;54.248467;10.228121
010575747059;Postfeld;54.203401;10.202368
010575747066;Rastorf;54.280735;10.313566
010575747070;Schellhorn;54.221842;10.323459
010575747084;Wahlstorf;54.191515;10.314023
010575747086;Warnau;54.189762;10.158558
010575755003;Barsbek;54.40417;10.315171
010575755006;Bendfeld;54.362628;10.4198
010575755012;Brodersdorf;54.390562;10.250387
010575755018;Fahren;54.355547;10.338829
010575755020;Fiefbergen;54.375746;10.348948
010575755028;Höhndorf;54.3664;10.373789
010575755039;Köhn;54.341713;10.4518
010575755040;Krokau;54.394398;10.342767
010575755041;Krummbek;54.375682;10.398409
010575755043;Laboe;54.401643;10.231869
010575755049;Lutterbek;54.392265;10.279848
010575755056;Passade;54.363845;10.319268
010575755060;Prasdorf;54.378963;10.296738
010575755063;Probsteierhagen;54.360038;10.272943
010575755073;Schönberg (Holstein);54.406933;10.384459
010575755078;Stakendorf;54.39294;10.423598
010575755079;Stein;54.410446;10.263671
010575755081;Stoltenberg;54.342054;10.350095
010575755087;Wendtorf;54.414523;10.291432
010575755088;Wisch;54.419614;10.343689
010575775016;Dobersdorf;54.313401;10.292202
010575775044;Lammershagen;54.28337;10.457344
010575775050;Martensrade;54.276244;10.390363
010575775052;Mucheln;54.241315;10.43924
010575775072;Schlesen;54.318585;10.330332
010575775077;Selent;54.288241;10.419084
010575775090;Fargau-Pratjau;54.325309;10.386967
010575782025;Heikendorf;54.367604;10.218892
010575782051;Mönkeberg;54.348239;10.194838
010575782074;Schönkirchen;54.325909;10.237311
010575785005;Belau;54.109828;10.256449
010575785024;Großharrie;54.118947;10.062613
010575785068;Rendswühren;54.07543;10.146393
010575785069;Ruhwinkel;54.091438;10.207479
010575785071;Schillsdorf;54.114045;10.130099
010575785080;Stolpe;54.147038;10.227904
010575785083;Tasdorf;54.099266;10.047858
010575785085;Wankendorf;54.127294;10.183835
010580005005;Altenholz;54.394807;10.105039
010580034034;Büdelsdorf;54.318697;9.683067
010580043043;Eckernförde;54.472497;9.826288
010580092092;Kronshagen;54.33662;10.08237
010580135135;Rendsburg;54.302438;9.654331
010580169169;Wasbek;54.083229;9.895869
010585803001;Achterwehr;54.301153;9.980049
010585803028;Bredenbek;54.312725;9.854135
010585803050;Felde;54.307714;9.926616
010585803093;Krummwisch;54.336215;9.911437
010585803104;Melsdorf;54.315108;10.03068
010585803126;Ottendorf;54.342036;10.048708
010585803130;Quarnbek;54.336087;9.999886
010585803171;Westensee;54.274309;9.906465
010585822037;Dänischenhagen;54.43167;10.114525
010585822116;Noer;54.458123;9.987589
010585822150;Schwedeneck;54.463255;10.085683
010585822157;Strande;54.451589;10.156929
010585824051;Felm;54.400854;10.057184
010585824058;Gettorf;54.410592;9.975449
010585824096;Lindau;54.381152;9.916965
010585824110;Neudorf-Bornstein;54.428419;9.931823
010585824112;Neuwittenbek;54.365112;10.016248
010585824121;Osdorf;54.432695;10.013934
010585824142;Schinkel;54.355704;9.949774
010585824165;Tüttendorf;54.385912;9.997301
010585833003;Alt Duvenstedt;54.355562;9.629512
010585833054;Fockbek;54.307177;9.585022
010585833118;Nübbel;54.265481;9.596496
010585833136;Rickert;54.336792;9.65836
010585847010;Bargstall;54.260888;9.455208
010585847029;Breiholz;54.201584;9.533789
010585847036;Christiansholm;54.32466;9.419507
010585847047;Elsdorf-Westermühlen;54.261703;9.523947
010585847055;Friedrichsgraben;54.27769;9.417922
010585847056;Friedrichsholm;54.306738;9.437276
010585847070;Hamdorf;54.227542;9.497759
010585847078;Hohn;54.302051;9.4943
010585847089;Königshügel;54.332953;9.451021
010585847097;Lohe-Föhrden;54.337779;9.527532
010585847129;Prinzenmoor;54.216433;9.452922
010585847154;Sophienhamm;54.276999;9.450613
010585853031;Brinjahe;54.168101;9.627605
010585853048;Embühren;54.176102;9.588394
010585853068;Haale;54.172356;9.545509
010585853071;Hamweddel;54.19375;9.615009
010585853075;Hörsten;54.218805;9.593475
010585853086;Jevenstedt;54.224858;9.683774
